documentid,paymentid,amount,date,vendor_name,vendor_address
00d0624439175,00p0535380313,72.90,2916-4-17,MR. D.I.Y. (KUCHZAI) SDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0654270874,00p0432205035,43.90,2016-6-7,FOUR QUARTERS SDN BHD,NO.28G JLN SS21/35 DAMANSARA UTAMA PETALING JAYA 47400 SELANGOR
00d0403711886,00p0174820163,32.23,2018-10-1,SYARIKAT PERNIAGAAN GIJ KEE,"NO 290, JALAN AIR PANAS, SETAPAK, 53020, KUALA LUMPUR."
00d0956164753,00p0943784617,503.10,2018-3-23,TIMELESS KITCHENETE SDN BHD,"LLT 50, FLOOR T2,SKY AVENUE GENTING HIGHLANDS PAHA NG, 690000 PAHANG MALAYSIA"
00d0667839698,00p0762437501,1110.0,2016-2-28,SIN THEY & COMPANY,"NO.54, BATU 5,JALAN IPOH, KG.BATU, 5110 KUALA LUMPUR"
00d0841246769,00p0690993010,7.70,2018-4-3,UNIHAKKA INTWERNATIONAL SDN HBD,"12, JALN YAMPOI 7/4,KAWASAN PERINDUSTRIAN TANPOI,81200 JOHOR BHARU,JOHOR"
00d0414196980,00p0470919234,2.30,2018-3-14,ERSTORAN WAN SHENG,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
00d0726523245,00p0442551242,23.0,2018-4-27,MR. D.I.Y. (M) SN BHD,"LOT 1851-A & 1851-B, JAL AN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0320587587,00p0481647612,28.8,2019-1-23,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,"NO. 443, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERAN, JOHOR."
00d0333208815,00p0637007543,8.20,2018-4-16,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
00d0330533884,00p0365532287,50.60,2017-8-19,GARDENIA BAKERIES (KPL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALWM,SELNAGOR."
00d0694627982,00p0501636084,101.75,2018-3-22,KHE ELECTRICAL TRADJNG,"33-G JALAN MAJU 3/1 TAMAN IEMBAH MAJU CHERAS, 56100 KL"
00d0408017404,00p0214917278,15.0,2017-6-15,AIKHUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD,"NO. 17-G, JALAN SETIA INDAH (X) U13/X, SET1A ALAM, SEKYSE N U13, 40170 SHAH ALAM,"
00d0447521528,00p0751195172,3.20,2018-6-4,MR. D.I.Y. (M) SDN BHD,"LOT 1851-A& 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 4300 SERI KEMBANGAN, SELANGOR"
00d0194076657,00p0262820541,61.65,2106-12-14,99 SPEED MATR S/B,"LOI P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1320-TMN BATU"
00d0546591203,00p0593910902,2148.40,2017-12-28,SYARIKAT PERNIAGAAN GI KEE,"NO 290, JALAN AIR PANAS. SETAPAK, 5320, KUALA LUMPUR"
00d0116292534,00p0895990239,13.78,2017-7-7,GUARDIAN HEALTH AND BEAUTY SDNBHD,"LOFT B-005-006, BASEMENT LEVEL 1 THE STARLING MALL JALAN SS21/60, DAMANSARA TUAMA."
00d0796308197,00p0407771995,28.0,2018-3-18,PASAR MINI JIN SEBNG,"3 79, JALAN PERMAS SATU, BANDAR BARUPERMAS JAYA 81750 PLENTOONG, JOHOR."
00d0992127574,00p0517597215,15.40,2017-10-4,RATRANGE STATIONERS & PRINT SDM BHD,44 JALAN SS21/58 DAMANSARA UTAMA 47400 PETALING JAYA
00d0961798581,00p0463809068,20.0,2018-4-28,CH ECKERS HYPERMARKEY SDN BHD (JALAN KLANG LAMA),"LOT 2942& 2945, JLN SERI SENTOSA 8, SERI SENTOSA, OFF JLN KLANG LAMA, 58000 KUALA LUMPUR."
00d0267909555,00p0882374522,42.50,2018-12-3,AFON CO. (M) BHD,"3RD FKR, AEON TAMAN  MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR"
00d0973462000,00p0144991713,33.50,2017-1-11,SANYU STATIONERY SHOP,"NO. 31G&33G, JLAAN SETIA INDAH X ,U13/X 4017 0 SETIA ALAM"
00d0280864237,00p0684214864,174.9,2018-3-31,KEDAI PAPAN YEW CHUAN,"LOT 276 JLAN BANTINNG 43800 DENGKIL, SELANGOR."
00d0697219524,00p0587545672,21.0,2018-3-24,GOLDEN KEY MAKER,"NO 5, JALAN KENARI 2, BANDARPUCHONG JAYA, 47100 PUCHONG, SELANGOR"
00d0145695018,00p0718364066,31.88,2017-3-8,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JAALN PELAVUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0330285744,00p0631203393,9.90,2017-12-28,MR. D.KKI.Y. SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKON G, 43300 SERUI KEMBANGAN, SELANGOR"
00d0477960526,00p0705646963,738.80,2018-1-29,KAISON FURNISHING SDN BHD,"L4-17 (B), LEVEL 4, UP2-o1, MELAWATI MALL, 355, JALAN BANDAR MELAWATI, LUSAT BANDAR MELAWATI, 53100KUALA LUMPUR."
00d0955195431,00p0302498197,3.21,2017-9-16,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PEABUR 23/1, 40300 SHAHALAM, SELANGOR."
00d0167381962,00p0715847540,5.90,2018-3-22,EON CO. (M) BHD.,"3 FLOOR, AENO TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUNMPUR"
00d0614628355,00p0431283627,6.70,2018-3-21,RESTORAN WAN SHENG,"NO.2, JALAN TEMENGUNG 19/9, SEKSYEN 9, BANXDAR MAHKOTA CHERSA, 43200 CHERAS, SELANGOR"
00d0761346037,00p0970401441,78.7,2017-6-2,YONG SOON FATT S/B,"LOT 1504, BATU 8 1/2, JALAN KLANG LAMA, 46000 PETALING JAYA, SELANGOR."
00d0502129574,00p0167188091,48.35,2018-4-22,AEON CO. (M) BHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAA, 55100 KUALA LUMPUR"
00d0686078737,00p0323939555,6.0,2018-3-24,BHPFTROL PALEKBANG,"LOT 1626, MUKIM KAMPUNG LAUT TUMPAT 06200 PALEKBANG, KELANTAN"
00d0674212079,00p0529478577,35.0,2017-7-18,SANYU STATUIONERY SHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
00d0989196649,00p0523451307,2.12,2018-2-1,SYARIKAT PERNIAGAAN GIN KEE,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR."
00d0797361085,00p0576411363,31.32,2017-1-10,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0592118004,00p0633720400,9.50,2018-3-27,ANZEL ADVERTISING (M) SDN BHD,"UNIT G-5B, GROUND FLOOR, WISMA UOA II, NO 21, JALAN PINANG, 50450 KUALA LUMPUR, MALAYSIA"
00d0130065999,00p0329094365,0.0,2018-6-4,HA SHAPETROKIOSK,LOT PTD 198718 TMN SIERRA P 81750 MASAI JOHOR
00d0781074499,00p0886705882,18.80,2018-4-16,FFAMILYMART,"NO 16A, JALANASTAKA U8/83, BUKIT JELUTONG. 40150 SHA H ALAM, SELANGGOR, D.E."
00d0682329345,00p0351654459,182.0,2017-11-22,99 SPEED MART S/B,"LOT P.T. 281, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1214-JINJANG UTARA"
00d0523654121,00p0743746912,3.70,2018-3-2,9 SPED AMRT S/B,"LOT P. T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1934-LAMAN RIMBUNAN"
