,0
00d0556108338,2018-6-16
00d0954032591,
00d0717257644,
00d0435331752,
00d0828995688,
00d0483826961,
00d0188523936,
00d0806991732,2017-10-30
00d0314913072,2017-9-2
00d0271405634,
00d0447521528,2018-6-4
00d0543055869,2018-1-5
00d0401609886,2017-10-22
00d0166687964,
00d0532350198,
00d0374072400,2018-5-22
00d0741384754,2018-6-4
00d0890929577,
00d0702637244,
00d0363991072,
00d0320901819,
00d0541369548,2016-2-13
00d0114026522,
00d0698784211,
00d0682248746,
00d0237756126,
00d0390492165,
00d0722335566,
00d0904741091,2018-5-13
00d0845867211,2017-4-5
00d0318453525,2018-8-4
00d0726523245,
00d0269258457,
00d0354051709,
00d0844880238,
00d0763327632,
00d0820736669,2017-9-9
00d0776331594,
00d0898762404,
00d0281320276,2017-11-20
00d0555910882,
00d0178827407,
00d0201833623,
00d0871332887,
00d0928366034,
00d0223598140,2018-6-16
00d0388872730,
00d0234070159,
00d0346543074,
00d0685723809,
00d0685059326,2017-1-28
00d0292723088,
00d0910776987,
00d0981184214,2018-4-30
00d0797361085,2017-1-10
00d0255697730,2018-6-5
00d0196984382,
00d0400234172,
00d0413686396,
00d0818597221,
00d0682329345,
00d0330285744,
00d0682202857,
00d0189067460,
00d0787822677,2018-6-17
00d0377572170,2017-1-28
00d0185599105,
00d0916006350,
00d0781074499,2018-4-16
00d0174068255,2017-10-10
00d0729993616,
00d0328806229,
00d0196808024,
00d0116788763,2018-11-4
00d0801912850,
00d0282138675,2017-7-24
00d0889453684,
00d0834688755,
00d0675832982,
00d0568013096,
00d0502129574,
00d0569507667,2018-4-14
00d0500564944,
00d0388919382,
00d0452553939,2018-5-16
00d0448828100,
00d0477960526,
00d0745818528,
00d0817761748,2018-6-12
00d0243521534,
00d0632172733,2018-3-6
00d0159988592,2018-4-11
00d0777749051,2018-11-6
00d0619690945,
00d0733466225,
00d0695919511,
00d0923796657,
00d0999793595,2018-6-20
00d0654632791,
00d0992954979,2018-5-14
00d0293069545,
00d0259552507,
00d0886341707,
00d0660852423,2018-6-1
00d0803190070,
00d0377951457,
00d0106074517,
00d0986033233,
00d0411843053,
00d0831446713,
00d0752976763,2016-8-1
00d0686078737,2018-3-24
00d0778866561,
00d0485748096,
00d0950629356,2018-12-5
00d0942116852,
00d0868680143,
00d0891802782,
00d0354593861,2018-11-6
00d0416368925,
00d0328708236,
00d0147095939,
00d0859215539,
00d0827574327,
00d0751097262,2018-5-19
00d0964499840,
00d0929882897,
00d0405749415,
00d0737981299,
00d0572439292,
00d0116292534,
00d0831212127,
00d0313212291,
00d0353042107,
00d0530467663,
00d0708429922,
00d0956164753,
00d0999799045,
00d0319760858,2018-9-8
00d0393260166,2017-10-14
00d0582681704,2018-3-1
00d0449236994,2017-10-8
00d0599930970,2017-9-13
00d0432757654,
00d0680000515,
00d0177909385,
00d0630325043,
00d0472127340,
00d0676711962,
00d0737345187,2017-2-2
00d0815578182,
00d0286887687,
00d0396141876,
00d0627737900,
00d0757881141,
00d0513207673,
00d0358154075,
00d0843646516,2017-9-10
00d0849221655,2018-2-3
00d0458708415,2017-8-25
00d0537233731,
00d0694169739,2018-11-8
00d0471112949,2018-2-6
00d0961798581,
00d0102367243,
00d0920231897,
00d0864219792,2017-4-30
00d0945445352,
00d0599423844,
00d0675769257,2017-12-14
00d0202365816,
00d0745331693,
00d0841330621,
00d0648982621,
00d0582732557,
00d0937018331,
00d0678943517,2018-3-29
00d0270792056,
00d0768446621,
00d0627668053,
00d0529128132,2018-5-22
00d0770792669,
00d0178282813,
00d0389135415,2018-12-3
00d0641642649,2017-3-20
00d0338271694,2018-4-28
00d0202261292,2017-10-10
00d0487139957,
00d0785646736,
00d0654270874,
00d0178057064,
00d0692152542,
00d0453226524,
00d0277307035,
00d0123031653,
00d0970540567,2018-3-12
00d0495694280,
00d0307768744,
00d0261309649,
00d0914854329,2018-3-14
00d0665595833,
00d0749169797,2017-8-28
00d0916574976,
00d0989858817,
00d0702501060,
00d0379996414,2018-3-19
00d0435587221,
00d0689877704,
00d0734092781,
00d0472913563,2018-7-5
00d0980207211,
00d0550391706,
00d0225816395,2017-8-17
00d0343958098,2018-9-6
00d0749657219,
00d0290184065,2017-12-4
00d0530594360,2018-6-20
00d0818342590,
00d0979473699,
00d0726056883,
00d0588374381,
00d0972867846,
00d0552638268,2018-7-1
00d0574862056,
00d0308106888,
00d0338048914,
00d0849102191,2018-5-27
00d0400479663,
00d0443910003,2018-5-31
00d0638988191,2017-10-18
00d0485758378,
00d0720874250,2018-6-10
00d0600715913,
00d0634485458,
00d0788646334,2018-5-26
00d0543406251,
00d0987973134,
00d0542157895,2018-5-31
00d0592118004,
00d0343987945,2017-3-13
00d0592371977,
00d0948775947,
00d0797433528,
00d0394257241,2018-12-3
00d0968376605,2016-12-13
00d0230547657,2017-11-15
00d0471591245,
00d0928411057,
00d0128862298,
00d0416161702,
00d0106280922,2018-1-28
00d0752144290,2018-9-4
00d0118393124,
00d0307106203,
00d0238897436,
00d0981274700,
00d0652046562,
00d0958758313,
00d0837787542,2017-12-20
00d0809037791,
00d0338418904,
00d0280864237,
00d0531848355,2018-6-18
00d0191077139,
00d0552375573,
00d0158328888,2018-3-5
00d0474678678,2018-8-13
00d0884773399,2018-3-27
00d0773577731,2018-3-16
00d0795468800,
00d0459172796,
00d0415751725,
00d0810901932,
00d0876837917,2018-3-30
00d0799986048,
00d0385248621,
00d0601744334,2017-9-28
00d0365513088,2018-3-30
00d0606540603,2018-12-1
00d0796308197,
00d0828214133,
00d0333208815,2018-4-16
00d0645069761,2017-1-28
00d0119878906,2018-8-5
00d0147748424,
00d0697219524,
00d0668503128,
00d0547632877,2018-5-28
00d0714317145,
00d0832645976,
00d0241023069,
00d0242626168,
00d0617357249,
00d0827595193,
00d0508747957,
00d0165073570,
00d0738014969,2018-3-3
00d0952509602,2018-4-5
00d0272306272,
00d0744539202,
00d0876844472,
00d0206414354,
00d0989196649,
00d0696021247,
00d0212522180,
00d0417300467,
00d0577470816,2018-4-2
00d0471481845,
00d0166829801,
00d0453489586,
00d0511840834,2017-10-18
00d0384888865,
00d0710387537,2018-11-3
00d0484942812,
00d0835959293,
00d0585896483,2017-7-27
00d0353443719,
00d0603631647,2017-4-30
00d0422368687,2018-12-5
00d0844818369,2018-5-7
00d0747284670,
00d0453904564,2017-10-19
00d0383639350,
00d0145695018,2017-3-8
00d0854345015,
00d0951021760,
00d0628164309,2018-4-10
00d0676485252,2018-3-22
00d0841246769,2018-4-3
00d0802473715,2018-6-25
00d0484705589,
00d0408489357,2018-5-24
00d0793133421,2017-4-12
00d0855903342,
00d0772671396,2018-4-5
00d0270398034,2017-10-29
00d0464742744,
00d0439076290,
00d0969391958,2017-8-5
00d0870184164,2018-6-9
00d0464021737,
00d0443302756,
00d0534693438,
00d0201738305,
00d0115214912,2017-10-5
00d0583684114,
00d0103738916,
00d0760304510,2016-6-4
00d0198786728,
00d0576905492,2018-6-15
00d0967073777,2016-1-28
00d0316894686,
00d0930697230,
00d0667839698,
00d0235890341,
00d0164203891,
00d0426803895,2018-3-19
00d0595804986,
00d0764855917,2017-12-20
00d0258506946,2018-8-4
00d0922342206,2018-4-3
00d0390662905,
00d0711624382,
00d0840498429,
00d0831136284,
00d0294263018,
00d0396057665,
00d0407044350,
00d0892818805,2017-9-28
00d0215894408,
00d0100894168,
00d0121860229,2018-3-5
00d0594663786,2016-1-5
00d0266020596,
00d0902256238,
00d0950145735,
00d0182384739,
00d0975647472,2017-10-23
00d0233173701,
00d0694627982,
00d0864913249,2018-6-28
00d0558270937,2018-4-9
00d0449498451,
00d0463604996,2018-3-21
00d0741622526,2018-1-28
00d0108922007,2018-12-26
00d0976342068,
00d0997573916,2017-4-15
00d0355426817,2018-4-28
00d0186887844,2018-3-23
00d0724139826,
00d0842605090,
00d0935614053,
00d0533588228,2018-3-14
00d0904732199,
00d0194569644,2018-4-28
00d0174270341,
00d0948483091,
00d0622420051,
00d0271842165,
00d0761346037,
00d0403823907,2018-6-20
00d0124895452,
00d0472591457,2018-6-17
00d0411132243,
00d0510871247,
00d0366117594,
00d0686397126,2018-3-16
00d0674219107,
00d0668346631,
00d0667274990,
00d0910574175,
00d0339705365,
00d0571602960,
00d0288011947,
00d0887482293,2017-5-10
00d0965540723,
00d0837897960,2018-6-1
00d0879733105,2016-7-29
00d0437873955,
00d0782503250,
00d0632354255,2017-9-19
00d0982931302,
00d0207985673,
00d0953772440,
00d0547495073,
00d0504725741,
00d0564199588,2017-12-25
00d0489061247,
00d0992127574,
00d0702366697,
00d0664097059,
00d0963161084,
00d0272031259,2018-5-15
00d0388190762,
00d0539072705,
00d0784934925,2018-1-14
00d0639354292,2018-3-10
00d0650437495,2017-10-24
00d0935702550,2018-3-20
00d0490682838,
00d0723945064,2018-3-29
00d0192025858,2017-5-8
00d0674212079,
00d0976607312,
00d0347606159,2017-10-29
00d0145054354,2017-12-11
00d0171220341,
00d0408017404,2017-6-15
00d0944630849,
00d0911031443,2016-10-4
00d0616798510,
00d0402998841,
00d0817657245,
00d0180967427,
00d0661661607,2017-9-28
00d0223498663,
00d0207352920,2017-11-29
00d0500910371,
00d0977582300,
00d0705950948,2017-8-10
00d0626463001,2018-3-3
00d0834036599,
00d0821795963,2018-5-5
00d0742987288,
00d0245826221,
00d0881334709,
00d0266548523,
00d0608566104,
00d0892499515,2018-1-3
00d0282395578,
00d0369571763,
00d0308915412,2018-8-27
00d0194076657,
00d0524794165,
00d0647759775,
00d0877220068,2017-10-15
00d0259127407,
00d0790157720,2017-12-10
00d0363399593,
00d0553233477,2018-2-18
00d0457456115,
00d0472780579,
00d0826414442,
00d0194796076,2017-8-21
00d0715617779,
00d0678037496,2016-10-20
00d0340785534,2018-6-17
00d0485821436,
00d0570374781,
00d0635477367,
00d0614628355,
00d0394931168,
00d0862918541,2018-4-28
00d0992959314,
00d0139330423,2018-5-28
00d0150882989,
00d0184132278,
00d0955195431,
00d0212306806,2018-8-23
00d0859401532,
00d0384870576,
00d0250566763,
00d0750315464,
00d0978814485,2018-11-5
00d0815885891,2018-4-16
00d0403711886,
00d0721665358,
00d0991234867,
00d0334664099,2018-3-18
00d0542888628,
00d0840814576,2017-7-10
00d0560446704,2017-4-22
00d0507143553,
00d0423671916,2017-9-19
00d0677299556,
00d0944155034,
00d0242366463,2016-7-31
00d0504003816,
00d0880901672,2018-4-19
00d0163078697,2017-7-30
00d0338548353,2017-1-27
00d0130065999,
00d0326687304,2017-12-28
00d0627357411,
00d0527382713,
00d0976572552,2017-4-2
00d0450998902,
00d0902251681,
00d0649375713,
00d0375035482,
00d0610473999,
00d0992302099,2018-6-22
00d0757215171,
00d0757440459,
00d0973462000,
00d0183401385,
00d0343123955,2018-7-6
00d0921867955,
00d0658523473,
00d0764796072,2018-4-16
00d0921271701,
00d0121880972,
